iter	Logloss
0	0.6625783237
1	0.6343783142
2	0.6080742642
3	0.5837415732
4	0.561259367
5	0.5403521076
6	0.5210479222
7	0.5033190103
8	0.48668796
9	0.4706063088
10	0.456128615
11	0.442912432
12	0.4307220659
13	0.4185642423
14	0.4075280869
15	0.3979713359
16	0.3892236317
17	0.3810059223
18	0.3731565466
19	0.3661649905
20	0.3597150214
21	0.3536844419
22	0.3480146179
23	0.3426691277
24	0.3378317236
25	0.3333053039
26	0.3285868411
27	0.32481812
28	0.3209970039
29	0.317143676
30	0.3140294255
31	0.311227249
32	0.3084946653
33	0.3048668616
34	0.3024912557
35	0.3003519456
36	0.2978910185
37	0.295520109
38	0.2936867865
39	0.2919842138
40	0.2896700867
41	0.2881346914
42	0.2860043072
43	0.2844990673
44	0.2834122457
45	0.2819154915
46	0.2808041582
47	0.2796620471
48	0.2784270193
49	0.2776864811
50	0.2769664462
51	0.2758892912
52	0.2750228835
53	0.2740802929
54	0.2730379723
55	0.2722405589
56	0.2716298264
57	0.2707684532
58	0.2702219851
59	0.2697035313
60	0.2689102098
61	0.2682322806
62	0.2676874853
63	0.2669935358
64	0.2664507051
65	0.2660046201
66	0.2656326054
67	0.2652199505
68	0.2645082508
69	0.2640338241
70	0.2635162649
71	0.2630018652
72	0.2627019211
73	0.2622990127
74	0.2619698544
75	0.2617911934
76	0.2614439163
77	0.2610892452
78	0.2609168873
79	0.2607134049
80	0.260294129
81	0.2598394181
82	0.2593596085
83	0.2590582752
84	0.2589606288
85	0.2587411803
86	0.2585775934
87	0.2582368788
88	0.2580857178
89	0.2578462636
90	0.2576207067
91	0.2574053262
92	0.2572601002
93	0.2569328287
94	0.2566928171
95	0.2565407491
96	0.2562862153
97	0.2561235001
98	0.2558145321
99	0.2555247149
100	0.2552567103
101	0.2549477684
102	0.2548181911
103	0.2546810496
104	0.2544117841
105	0.2542388543
106	0.2539712237
107	0.2538352461
108	0.253643856
109	0.2534084984
110	0.2532573308
111	0.2531180662
112	0.2529517641
113	0.2528419496
114	0.2526717443
115	0.2525019278
116	0.2523965067
117	0.2523150451
118	0.252155018
119	0.2520067416
120	0.2519100804
121	0.2518436683
122	0.2517035894
123	0.2516042266
124	0.2514721938
125	0.2512838279
126	0.2511850333
127	0.2510768621
128	0.25098905
129	0.2508582321
130	0.2507136848
131	0.2506055329
132	0.2504861997
133	0.2503835677
134	0.2502325782
135	0.2500557521
136	0.2499140664
137	0.2497791306
138	0.2496630781
139	0.2495519585
140	0.2494154284
141	0.2492239543
142	0.2491001775
143	0.2489346125
144	0.2488322003
145	0.2487521957
146	0.2486078427
147	0.2485269201
148	0.2484208425
149	0.2482699743
150	0.2481262994
151	0.2479615517
152	0.247817684
153	0.2477706696
154	0.2476913616
155	0.247587019
156	0.2475324272
157	0.247451218
158	0.247352928
159	0.2472184698
160	0.2471202517
161	0.2469828441
162	0.2468496529
163	0.2467733933
164	0.2466947722
165	0.2466361705
166	0.2465941429
167	0.2465208433
168	0.2463712709
169	0.2462356054
170	0.246114674
171	0.2460057224
172	0.2459522276
173	0.2458246862
174	0.2456599831
175	0.2454946149
176	0.2454054014
177	0.245323664
178	0.2452543235
179	0.2451472725
180	0.2450902825
181	0.2449665551
182	0.2448754893
183	0.2448140508
184	0.2446490793
185	0.2445409872
186	0.2444541607
187	0.2443849156
188	0.2442333501
189	0.2441647439
190	0.2441055674
191	0.243975676
192	0.2438636117
193	0.2437412652
194	0.2435529449
195	0.2434250648
196	0.2433202625
197	0.243236547
198	0.2432021887
199	0.2431014798
200	0.242972524
201	0.2428772229
202	0.2428227343
203	0.2427687029
204	0.2425959555
205	0.242546395
206	0.2424706128
207	0.2423775461
208	0.2422056491
209	0.2421504284
210	0.2420754697
211	0.2419674509
212	0.2418228973
213	0.2417424417
214	0.2415659397
215	0.2415074864
216	0.2413892139
217	0.2412927073
218	0.2412003369
219	0.2411423306
220	0.2410580274
221	0.2409417326
222	0.2409126105
223	0.2408337857
224	0.2406136989
225	0.2405147748
226	0.2404562267
227	0.2403112254
228	0.2402548479
229	0.2401401492
230	0.2400673552
231	0.2399539171
232	0.2399012687
233	0.2397768399
234	0.2397291522
235	0.2395886704
236	0.2395269959
237	0.2394661939
238	0.2393632518
239	0.2392824589
240	0.2391927225
241	0.2391300176
242	0.2388988153
243	0.2387892509
244	0.2387040818
245	0.2386036594
246	0.2385114146
247	0.2384448207
248	0.2383639634
249	0.2382802573
250	0.238213581
251	0.2381186951
252	0.2380640224
253	0.2379815554
254	0.2378862534
255	0.2378164814
256	0.2377477926
257	0.2376634245
258	0.2376019953
259	0.2374868031
260	0.2374180311
261	0.2373338195
262	0.2372246704
263	0.2371849172
264	0.2371189025
265	0.2370682363
266	0.2369499728
267	0.2368313561
268	0.236739352
269	0.2365375574
270	0.2364034243
271	0.2362715549
272	0.2361775058
273	0.2361063282
274	0.236014061
275	0.2359489136
276	0.2358636848
277	0.2357949805
278	0.2356929627
279	0.2356161954
280	0.2355169816
281	0.2354188777
282	0.2353148014
283	0.2352719448
284	0.2351575718
285	0.235076485
286	0.2349969034
287	0.2348827958
288	0.2347979069
289	0.2347376209
290	0.2346499848
291	0.2345986632
292	0.2345172991
293	0.2344269438
294	0.2343536486
295	0.2341287169
296	0.234022223
297	0.2338090936
298	0.2337330881
299	0.2336656193
300	0.2335485226
301	0.2334730235
302	0.2333982499
303	0.2332937868
304	0.2332288377
305	0.2331310649
306	0.2330415973
307	0.233010533
308	0.2329192436
309	0.2328507022
310	0.2328002311
311	0.2326252288
312	0.2325348446
313	0.2324868975
314	0.2323305583
315	0.2322496146
316	0.2321578722
317	0.2321104673
318	0.2320241637
319	0.2319637391
320	0.2319055552
321	0.2318064398
322	0.2317325705
323	0.2316509052
324	0.2315698506
325	0.2315079811
326	0.2314534552
327	0.2313748961
328	0.2312558168
329	0.2311207558
330	0.2310180176
331	0.2309571392
332	0.2308688222
333	0.2308126287
334	0.2307465988
335	0.2306845745
336	0.2306165311
337	0.2305244277
338	0.2304320873
339	0.2303614333
340	0.2303064483
341	0.2301578285
342	0.2300903671
343	0.2299646183
344	0.2298713498
345	0.2297806896
346	0.2296318877
347	0.2295323565
348	0.2294216533
349	0.2293827055
350	0.2292713113
351	0.2292111841
352	0.2291068376
353	0.2289505567
354	0.2288619121
355	0.2287806928
356	0.2287014689
357	0.2286291656
358	0.228561431
